Population,HBP01-1,HBP01-2,HBP01-3,HBP01-4,HBP01-5,HBP02-1,HBP02-2,HBP02-3,HBP02-4,HBP02-5,HBP03-1,HBP03-2,HBP03-3,HBP03-4,HBP03-5,HBP04-1,HBP04-2,HBP04-3,HBP04-4,HBP04-5,HBP05-1,HBP05-2,HBP05-3,HBP05-4,HBP05-5,HBP06-1,HBP06-2,HBP06-3,HBP06-4,HBP06-5,HBP07-1,HBP07-2,HBP07-3,HBP07-4,HBP07-5,HBP08-1,HBP08-2,HBP08-3,HBP08-4,HBP08-5,HBP09-1,HBP09-2,HBP09-3,HBP09-4,HBP09-5,HBP10-1,HBP10-2,HBP10-3,HBP10-4,HBP10-5
Intact cells/Dead singlets | Freq. of Parent,6.57,5.36,4.57,3.65,1.7,8.15,6.31,5.4,6.25,1.8,4.23,3.55,4.53,4.91,1.37,3.55,3.48,3.72,3.75,1.71,4.45,7.07,3.37,6.58,1.15,6.37,4.44,5.44,8.59,12.6,2.91,3.02,3.02,0.6,0.94,4.15,4.21,4.41,4.9,2.45,5.86,5.05,5.44,5.83,4.39,7.84,6.31,6.59,6.78,1.51
Intact cells/Live Singlets | Freq. of Parent,90.4,92.6,91.1,93.7,94.9,89.2,91.6,92.1,91.2,94.4,93.2,94.7,93.6,92.4,96.3,94.2,94.3,94.8,93.8,96.3,92.7,90.9,94.4,91.5,95.7,90.6,94.1,91.3,88.6,82.4,94.7,94.2,94.9,98.3,96.1,94.1,94.5,93.6,92.5,95.7,91.7,92.9,92.6,90.4,92.3,89.4,90.4,91.3,88.5,96.5
Live Singlets/Caspase3+ | Freq. of Parent,51.5,31.6,6.6,2.92,7.61,23.5,20.4,14.1,14.8,16.2,30.5,23.9,25.5,15.9,20,15.3,14.4,15,18.5,18.6,24.9,26,18.9,15.9,19.2,26.3,21.6,16.2,13.8,16.1,27.8,18.8,18.3,12,19.9,18.8,12.3,11.6,7.72,7.95,30.6,27.4,25.9,26.4,24.6,14.9,9.47,6.46,8.87,7.99
Live Singlets/CD36+ | Freq. of Parent,29.6,37,23,18.4,5.43,15.9,17.2,23.3,36,10.6,18.5,15.9,27.1,34.4,12.8,20.7,29.2,28.3,28,18.4,25.8,12.3,14.3,21.3,5.05,21.5,18,20.5,34.6,36.9,21,31.8,31,1.21,3.22,23.6,19.8,21.7,37.6,8.38,27.3,20.3,32.5,41.1,22.2,23,27.2,32.2,30.4,3.03
Live Singlets/Lymphocytes | Freq. of Parent,87.9,91.5,98.6,99.6,99.6,88.5,87.9,91,91.1,97.7,93.7,95.8,92.2,96.6,99,90.4,87,84.2,93.1,94.6,88.6,93.2,93.4,96.5,98.8,83.2,90.1,87.7,93.5,92.5,91.5,91.2,87.4,99.3,98.6,87.2,88.2,91.1,95.2,99,86.8,89.1,85.8,91,96.7,97.3,96.1,96.3,98.8,99.8
Lymphocytes/154Sm_CD3+ | Freq. of Parent,69.9,70.7,46.5,28.7,45.1,86.3,84.6,83.1,81,76.9,56.6,58.5,56.7,52.7,50.6,74.9,78.1,76.9,76.2,72.1,58.9,73.9,63.8,61.4,63.7,73.2,65.2,76,71,50.6,64,65.8,66,82.9,79.4,80.3,81.1,81.7,79.4,81.3,65.2,68.6,66.6,65.3,51.5,68.3,69.4,68.7,70.6,61.3
Lymphocytes/154Sm_CD3+/CD4+ T cells | Freq. of Parent,62.5,60.5,47.1,34.6,40,48.6,46.6,48,48.1,46.8,62.1,60.4,59.9,53.5,67,48.3,46.4,43.6,39.5,40.5,67.8,65,70.2,71.6,76.3,62.3,70.2,64.3,62.9,51.6,66.1,64.8,64.1,67.7,74.2,67.6,67.1,68,65.7,66.3,62.8,62.3,62.5,63.3,63.1,62.8,62.4,61.9,59.3,65.9
Lymphocytes/154Sm_CD3+/CD4+ T cells/CD21+ | Freq. of Parent,4.78,2.02,0.59,0.25,0.72,2.17,2.05,1.81,1.51,3.56,3.69,2.96,2.84,1.18,3.33,1.91,1.77,1.11,0.96,1.08,3.23,1.99,4.41,2.72,4.05,2.41,2.27,2.54,1.21,0.41,4.2,3.63,3,1.75,3.84,1.3,1.31,1.1,0.53,0.64,3.38,4,4.32,4.05,3.39,1.09,1.48,1.14,0.9,1.83
Lymphocytes/154Sm_CD3+/CD4+ T cells/CD27+ | Freq. of Parent,47.5,54.1,34,12.2,35.4,82.9,81.3,84.5,81.8,82.8,74.5,75.7,78.7,57.1,57.7,83.9,84.2,82.3,75.6,75.2,71.5,82.2,86.5,83.9,78.1,83,80.9,89.4,85.6,66.5,86.5,92.3,92.7,91.9,86.5,89.4,93.2,93,85.1,78.2,92.2,91.6,92.9,91.2,91.1,74.3,86,90.5,79.3,79.8
Lymphocytes/154Sm_CD3+/CD4+ T cells/CD40L+ | Freq. of Parent,14.4,31.1,11.4,1.55,14.1,42.3,41.5,48.6,48.5,49.1,25.5,24.5,19.4,10,15.6,38.2,37.4,25.5,22.2,25.6,31,43.1,50.5,58.1,47.4,21.9,29,31.1,26.9,19.7,39.4,41.4,42.6,54.8,45.9,47.5,48.5,53.3,33,39.7,41.9,42.4,38.7,44.1,52.8,13.3,22.9,15.7,33.8,22.5
Lymphocytes/154Sm_CD3+/CD4+ T cells/CD57+ | Freq. of Parent,16.2,15.9,12.1,6.67,14.4,2.89,3.04,2.74,2.84,5.42,2.8,2.68,2.72,1.68,3.13,4.11,4.32,5.51,5.79,9.04,4.32,1.72,3.83,3.4,4.04,1.85,3.36,1.79,0.95,1.5,1.94,1.54,1.63,1.54,2.42,0.83,0.83,0.76,0.58,0.81,0.97,1.56,1.18,1.17,1.3,1.04,1.01,0.92,1.07,2.04
